band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,species_scientific_name
B97995397709,B97995397709,,E,9/27/2015,27,9,2015,US,US-WI,44.65626,-90.0793,11,41,MALLARD,1320,,,,,,,1,21,61,5,0.25,E,Anas platyrhynchos
B97995397733,B97995397733,,B,8/24/2015,24,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397733,B97995397733,,E,11/19/2016,19,11,2016,US,US-WI,43.18285,-88.62677,11,41,Mallard,1320,,,,,,,1,21,7,5,1.42,E,Anas platyrhynchos
B97995397919,B97995397919,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,14,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397919,B97995397919,,E,8/26/2015,26,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995397935,B97995397935,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,14,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397935,B97995397935,,E,10/6/2016,6,10,2016,US,US-WI,43.77304,-88.60696,11,41,MALLARD,1320,,,,,,,1,21,61,5,1.33,E,Anas platyrhynchos
B97995397999,B97995397999,,B,8/20/2015,20,8,2015,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,14,2,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995397999,B97995397999,,E,8/24/2015,24,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,2,5,P8988788,,66,23,14,7,0.17,R,Anas platyrhynchos
B97995398458,B97995398458,,B,9/2/2014,2,9,2014,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995398458,B97995398458,,E,12/3/2014,3,12,2014,US,US-WI,43.18388,-88.98844,11,41,MALLARD,1320,,,,,,,1,21,61,5,1.5,E,Anas platyrhynchos
B97995399903,B97995399903,,B,8/19/2014,19,8,2014,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995399903,B97995399903,,E,8/28/2015,28,8,2015,US,US-WI,43.57444,-88.62722,0,41,Mallard,1320,3,0,1,5,P8988788,,66,23,14,7,2.17,R,Anas platyrhynchos
B97995399989,B97995399989,,B,8/19/2014,19,8,2014,US,US-WI,43.5,-88.5,60,41,Mallard,1320,3,0,1,5,P8988788,0,,,,,,B,Anas platyrhynchos
B97995399989,B97995399989,,E,10/4/2014,4,10,2014,US,US-WI,44.08185,-88.71261,11,41,MALLARD,1320,,,,,,,1,21,61,5,1.33,E,Anas platyrhynchos
B97995404180,B97995404180,,B,9/4/2013,4,9,2013,US,US-CT,41.5,-73.5,60,41,Mallard,1320,3,0,2,4,P7976786,0,,,,,,B,Anas platyrhynchos
