id,species,new_sample,latitude,longitude,gs_correct,ma_correct,correct
1256-09378,rndu,1,48.916666667,-96.25,1,1,Correct by both eq.
1256-09382,rndu,1,48.953611111,-96.062777778,0,0,Neither eq. correct
1256-09568,rndu,1,47.583333333,-95.083333333,1,0,GS only correct
1256-09571,rndu,1,47.583333333,-95.083333333,1,0,GS only correct
1256-09572,rndu,1,47.583333333,-95.083333333,1,1,Correct by both eq.
1256-09573,rndu,1,47.583333333,-95.083333333,1,1,Correct by both eq.
1256-09586,rndu,1,47.75,-96.083333333,1,1,Correct by both eq.
1256-09587,rndu,1,47.75,-96.083333333,1,1,Correct by both eq.
1256-09589,rndu,1,47.75,-96.083333333,1,1,Correct by both eq.
1256-09590,rndu,1,47.508611111,-95.784722222,1,1,Correct by both eq.
1256-09591,rndu,1,47.508611111,-95.784722222,1,1,Correct by both eq.
1256-09595,rndu,1,47.508611111,-95.784722222,1,1,Correct by both eq.
1256-09597,rndu,1,47.508611111,-95.784722222,1,1,Correct by both eq.
1256-09775,rndu,1,47.583333333,-94.083333333,1,1,Correct by both eq.
1256-09778,rndu,1,47.583333333,-94.083333333,1,1,Correct by both eq.
1256-09784,rndu,1,47.583333333,-94.083333333,1,1,Correct by both eq.
1256-09796,rndu,1,48.916666667,-96.25,1,1,Correct by both eq.
1256-09799,rndu,1,48.916666667,-96.25,1,1,Correct by both eq.
